emoji,words,category
🧖‍♀,woman in steamy room | day | luxurious | pamper,person activity
🧖‍♂,man in steamy room | day | luxurious | man,person activity
🧗,person climbing | climb | climber | climbing,person activity
🧗‍♀,woman climbing | climb | climber | climbing,person activity
🧗‍♂,man climbing | climb | climber | climbing,person activity
🧘,person in lotus position | cross | legged | legs,person resting
🧘‍♀,woman in lotus position | cross | legged | legs,person resting
🧘‍♂,man in lotus position | cross | legged | legs,person resting
🧙,mage | fantasy | magic | play,person fantasy
🧙‍♀,woman mage | fantasy | mage | magic,person fantasy
🧙‍♂,man mage | fantasy | mage | magic,person fantasy
🧚,fairy | fairytale | fantasy | myth,person fantasy
🧚‍♀,woman fairy | fairy | fairytale | fantasy,person fantasy
🧚‍♂,man fairy | fairy | fairytale | fantasy,person fantasy
🧛,vampire | blood | dracula | fangs,person fantasy
🧛‍♀,woman vampire | blood | fangs | halloween,person fantasy
🧛‍♂,man vampire | blood | fangs | halloween,person fantasy
🧜,merperson | creature | fairytale | folklore,person fantasy
🧜‍♀,mermaid | creature | fairytale | folklore,person fantasy
🧜‍♂,merman | creature | fairytale | folklore,person fantasy
🧝,elf | elves | enchantment | fantasy,person fantasy
🧝‍♀,woman elf | elf | elves | enchantment,person fantasy
🧝‍♂,man elf | elf | elves | enchantment,person fantasy
🧞,genie | djinn | fantasy | jinn,person fantasy
🧞‍♀,woman genie | djinn | fantasy | genie,person fantasy
🧞‍♂,man genie | djinn | fantasy | genie,person fantasy
🧟,zombie | apocalypse | dead | halloween,person fantasy
🧟‍♀,woman zombie | apocalypse | dead | halloween,person fantasy
🧟‍♂,man zombie | apocalypse | dead | halloween,person fantasy
🧠,brain | intelligent | smart,body parts
🧡,orange heart | heart | orange,heart
🧢,billed cap | baseball | bent | billed,clothing
🧣,scarf | bundle | cold | neck,clothing
🧤,gloves | hand,clothing
🧥,coat | brr | bundle | cold,clothing
🧦,socks | stocking,clothing
🧧,red envelope | envelope | gift | good,event
🧨,firecracker | dynamite | explosive | fire,event
🧩,puzzle piece | clue | interlocking | jigsaw,game
🧪,test tube | chemist | chemistry | experiment,science
🧫,petri dish | bacteria | biologist | biology,science
🧬,dna | biologist | evolution | gene,science
🧭,compass | direction | magnetic | navigation,place map
🧮,abacus | calculation | calculator,computer
🧯,fire extinguisher | extinguish | extinguisher | fire,household
🧰,toolbox | box | chest | mechanic,tool
🧱,brick | bricks | clay | mortar,place building
🧲,magnet | attraction | horseshoe | magnetic,tool
🧳,luggage | bag | packing | roller,hotel
🧴,lotion bottle | bottle | lotion | moisturizer,household
🧵,thread | needle | sewing | spool,arts and crafts
🧶,yarn | ball | crochet | knit,arts and crafts
🧷,safety pin | diaper | pin | punk,household
🧸,teddy bear | bear | plaything | plush,game
🧹,broom | cleaning | sweeping | witch,household
🧺,basket | farming | laundry | picnic,household
🧻,roll of paper | paper | roll | toilet,household
🧼,soap | bar | bathing | clean,household
🧽,sponge | absorbing | cleaning | porous,household
🧾,receipt | accounting | bookkeeping | evidence,money
🧿,nazar amulet | amulet | bead | blue,objects
🩰,ballet shoes | ballet | dance | shoes,clothing
🩱,one-piece swimsuit | bathing | one-piece | suit,clothing
🩲,briefs | bathing | one-piece | suit,clothing
🩳,shorts | bathing | pants | suit,clothing
🩴,thong sandal | beach | flip | flop,clothing
🩵,light blue heart | blue | cute | cyan,heart
🩶,grey heart | emotion | gray | grey,heart
🩷,pink heart | adorable | cute | emotion,heart
🩸,drop of blood | bleed | blood | donation,medical
🩹,adhesive bandage | adhesive | bandage,medical
🩺,stethoscope | doctor | heart | medicine,medical
🩻,x-ray | bones | doctor | medical,medical
🩼,crutch | aid | cane | disability,medical
🪀,yo-yo | fluctuate | toy,game
🪁,kite | fly | soar,game
🪂,parachute | hang-glide | parasail | skydive,transport air
🪃,boomerang | rebound | repercussion | weapon,tool
🪄,magic wand | magic | magician | wand,game
🪅,candy | celebrate | celebration | cinco,game
🪆,nesting dolls | babooshka | baboushka | babushka,game
🪇,maracas | cha | dance | instrument,musical instrument
🪈,flute | band | fife | flautist,musical instrument
🪉,harp | cupid | instrument | love,musical instrument
🪊,trombone | brass | instrument | jazz,musical instrument
🪎,treasure chest | gem | gold | jewels,money
🪏,shovel | bury | dig | garden,tool
🪐,ringed planet | planet | ringed | saturn,sky and weather
🪑,chair | seat | sit,household
🪒,razor | sharp | shave,household
🪓,axe | ax | chop | hatchet,tool
🪔,diya lamp | diya | lamp | light,light and video
🪕,banjo | music | stringed,musical instrument
🪖,military helmet | army | helmet | military,clothing
🪗,accordion | box | concertina | instrument,musical instrument
🪘,long drum | beat | conga | drum,musical instrument
🪙,coin | dollar | euro | gold,money
🪚,carpentry saw | carpenter | carpentry | cut,tool
🪛,screwdriver | flathead | handy | screw,tool
🪜,ladder | climb | rung | step,tool
🪝,hook | catch | crook | curve,tool
🪞,mirror | makeup | reflection | reflector,household
🪟,window | air | frame | fresh,household
🪠,plunger | cup | force | plumber,household
🪡,sewing needle | embroidery | needle | sew,arts and crafts
🪢,knot | cord | rope | tangled,arts and crafts
🪣,bucket | cask | pail | vat,household
🪤,mouse trap | bait | cheese | lure,household
🪥,toothbrush | bathroom | brush | clean,household
🪦,headstone | cemetery | dead | grave,objects
🪧,placard | card | demonstration | notice,objects
🪨,rock | boulder | heavy | solid,place building
🪩,mirror ball | ball | dance | disco,game
🪪,identification card | card | credentials | document,objects
🪫,low battery | battery | drained | electronic,computer
🪬,hamsa | amulet | fatima | fortune,objects
🪭,folding hand fan | clack | clap | cool,clothing
🪮,hair pick | afro | comb | groom,clothing
🪯,khanda | deg | fateh | khalsa,religion
🪰,fly | animal | disease | insect,animal bug
🪱,worm | animal | annelid | earthworm,animal bug
🪲,beetle | animal | bug | insect,animal bug
🪳,cockroach | animal | insect | pest,animal bug
🪴,potted plant | decor | grow | house,plant other
🪵,wood | log | lumber | timber,place building
🪶,feather | bird | flight | light,animal bird
🪷,lotus | beauty | buddhism | calm,plant flower
🪸,coral | change | climate | ocean,animal marine
🪹,empty nest | branch | empty | home,plant other
🪺,nest with eggs | bird | branch | egg,plant other
🪻,hyacinth | bloom | bluebonnet | flower,plant flower
🪼,jellyfish | animal | aquarium | burn,animal marine
🪽,wing | angelic | ascend | aviation,animal bird
🪾,leafless tree | bare | barren | branches,plant other
🪿,goose | animal | bird | duck,animal bird
🫀,anatomical heart | anatomical | beat | cardiology,body parts
🫁,lungs | breath | breathe | exhalation,body parts
🫂,people hugging | comfort | embrace | farewell,person symbol
🫃,pregnant man | belly | bloated | full,person role
🫄,pregnant person | belly | bloated | full,person role
🫅,person with crown | crown | monarch | noble,person role
🫆,fingerprint | clue | crime | detective,person symbol
🫈,hairy creature | bigfoot | cryptid | forest,person fantasy
🫍,orca | marine | ocean | whale,animal marine
🫎,moose | alces | animal | antlers,animal mammal
🫏,donkey | animal | ass | burro,animal mammal
🫐,blueberries | berries | berry | bilberry,food fruit
🫑,bell pepper | bell | capsicum | food,food vegetable
🫒,olive | food,food fruit
🫓,flatbread | arepa | bread | food,food prepared
🫔,tamale | food | mexican | pamonha,food prepared
🫕,fondue | cheese | chocolate | food,food prepared
🫖,teapot | brew | drink | food,drink
🫗,pouring liquid | accident | drink | empty,drink
🫘,beans | food | kidney | legume,food vegetable
🫙,jar | condiment | container | empty,dishware
🫚,ginger root | beer | ginger | health,food vegetable
🫛,pea pod | beans | beanstalk | edamame,food vegetable
🫜,root vegetable | beet | food | garden,food vegetable
🫟,splatter | drip | holi | ink,symbols
🫠,melting | disappear | dissolve | embarrassed,face smiling
🫡,saluting | face | good | luck,face hand
🫢,face with open eyes and hand over mouth | amazement | awe | disbelief,face hand
🫣,face with peeking eye | captivated | embarrass | eye,face hand
🫤,face with diagonal mouth | confused | confusion | diagonal,face concerned
🫥,dotted line | depressed | disappear | dotted,face neutral skeptical
🫦,biting lip | anxious | bite | biting,body parts
🫧,bubbles | bubble | burp | clean,household
🫨,shaking | crazy | daze | earthquake,face neutral skeptical
🫩,face with bags under eyes | bags | bored | exhausted,face sleepy
🫪,distorted | anxiety | bloated | panic,face concerned
🫯,fight cloud | argument | brawl | debate,emotion
🫰,hand with index finger and thumb crossed | crossed | expensive | finger,hand fingers partial
🫱,rightwards hand | hand | handshake | hold,hand fingers open
